AI_id,text_obj,text_mthd,text_deal,document,label
id_0369163,미용실에서,일반인을대상으로,커트?파마,미용실에서 일반인을대상으로 커트 파마,S96961
id_0368101,미장원에서,고객대상,? 파마,미장원에서 고객대상 파마,S96961
id_0285767,사업장에서,고객들에게,파마 염색등?,사업장에서 고객들에게 파마 염색,S96961
id_0201299,사업장에서,내방?애게,네일아트서비스,사업장에서 내방애게 네일아트서비스,S96961
id_0507064,사업장에서,일반고객을 대상?,네일 손질,사업장에서 일반고객을 대상 네일 손질,S96961
id_0231858,샵에서,고객대상,특수머리전문?,샵에서 고객대상 특수머리전문,S96961
id_0730822,스포츠?에서,일반고객에게,맛사지,스포츠에서 일반고객에게 맛사지,S96961
id_0264621,영업장에서,고객에게,속?섭 네일,영업장에서 고객에게 속눈썹 네일,S96961
id_0947622,영업장에서,일반손님대상으로,파마 ?,영업장에서 일반손님대상으로 파마,S96961
id_0350765,영업장에서화장품으로,일반소비자에게,화장?미용해줌,영업장에서화장품으로 일반소비자에게 화장 미용해줌,S96961
id_0071223,왁싱?에서,일반인을 대상으로,속눈썹 왁싱,왁싱숍에서 일반인을 대상으로 속눈썹 왁싱,S96961
id_0256631,운동?에서,일반인을대상으로,반신욕다이어트,운동숍에서 일반인을대상으로 반신욕다이어트,S96961
id_0127446,이용원에서,고객요청으로,남자?트 면도,이용원에서 고객요청으로 남자트 면도,S96961
id_0627577,이용원에서,일반인을?상으로,이발 면도,이용원에서 일반인을대상으로 이발 면도,S96961
id_0770704,일반고객 대상으로,메이컵?에서,메이크업 서비스,일반고객 대상으로 메이컵숍에서 메이크업 서비스,S96961
id_0671921,일반고객대상,메이크업?에서,메이크업서비스,일반고객대상 메이크업숍에서 메이크업서비스,S96961
id_0787596,일반미장원,고객을 대상으로,? 컷 염색,일반미장원 고객을 대상으로 컷 염색,S96961
id_0922742,일반인 대상으로,?에서,손 맛사지,일반인 대상으로 숍에서 손 맛사지,S96961
id_0893458,풋케어?에서,일반고객을 대상으로,발 피부케어,풋케어숍에서 일반고객을 대상으로 발 피부케어,S96961
id_0167704,피부관리실에서,피부미용 서비스 제?,피부관리 팩 등 피부미용,피부관리실에서 피부미용 서비스 제공 피부관리 팩 등 피부미용,S96961
id_0292644,피부미용서비스,피부미용업?에서,피부미용,피부미용서비스 피부미용업에서 피부미용,S96961
id_0790568,헤어 ?에서,일반인을 대상으로,헤어 펌 헤어 컷 서비스,헤어샵에서 일반인을 대상으로 헤어 펌 헤어 컷 서비스,S96961
id_0867346,보일러수리 수도설비보수 누수탐지 양변기세변기 위?,,,보일러수리 수도설비보수 누수탐지 양변기세변기 위,S95953
id_0186599,사업장에서,일반인대상,카인테리어 차?크리닝 광택,사업장에서 일반인대상 카인테리어 차량크리닝 광택,S95952
id_0224464,사업장에서,일반인대상,클러치 보조장치설치?전문수리,사업장에서 일반인대상 클러치 보조장치설치 전문수리,S95952
id_0714863,서비스센터에서,고객의 차?을,정비 내장수리 도장,서비스센터에서 고객의 차량을 정비 내장수리 도장,S95952
id_0305442,세차장에서,고객을대상으로,차?세차서비스,세차장에서 고객을대상으로 차량 세차서비스,S95952
id_0391279,세차장에서,일반 고객을 대상으로,자동차 세차? 광택,세차장에서 일반 고객을 대상으로 자동차 세차 광택,S95952
id_0422842,세차장에서,일반인대상으로,차?세차 서비스,세차장에서 일반인대상으로 차량 세차 서비스,S95952
id_0415088,영업장에서,의뢰를 ?아,자동차 특정부분 수리,영업장에서 의뢰를 받아 자동차 특정부분 수리,S95952
id_0549862,카센타,자동차?l 특정부분을 전문적으로 수리,경정비 타이어 내장수리,카센타 자동차 특정부분을 전문적으로 수리 경정비 타이어 내장수리,S95952
id_0181853,교회,기독?계통,종교활동,교회 기독교계통 종교활동,S94949
id_0526316,교회,기독교계통종??활동,종교서비스,교회 기독교계통 종교활동 종교서비스,S94949
id_0119486,교회에서,가?교계통종교활동,종교서비스,교회에서 기독교 계통종교활동 종교서비스,S94949
id_0360732,교회에서,기?교 단체,종교활동,교회에서 기독교 단체 종교활동,S94949
id_0551461,교회에서,기독교계?종교활동,종교서비스,교회에서 기독교계 종교활동 종교서비스,S94949
id_0689933,기도원에서,선교활?으로,종교서비스,기도원에서 선교활동으로 종교서비스,S94949
id_0872887,사?에서,일반신도들을 대상으로,포교활동 불교,사원에서 일반신도들을 대상으로 포교활동 불교,S94949
id_0892369,사업장에서,기독교계통종교활동,종?서비스,사업장에서 기독교계통종교활동 종교서비스,S94949
id_0074580,선원에서,불교계? 종교활동,종교 서비스,선원에서 불교계 종교활동 종교 서비스,S94949
id_0780137,시장에서,상인들대상으로,친목도모 ?년상인회,시장에서 상인들대상으로 친목도모 청년상인회,S94949
id_0271499,위원회에서,이주민대상이익향상위?,협회,위원회에서 이주민대상이익향상위 협회,S94949
id_0364052,절에서,불?계통의,종교서비스,절에서 불교계통의 종교서비스,S94949
id_0122170,사무실에서,근로단체,그노라? 지위향상을 위한단체,사무실에서 근로단체 근로자 지위향상을 위한단체,S94942
id_0413702,농민,농민?체,비영리단체,농민 농민단체 비영리단체,S94941
id_0996277,담배판매상의 회원들의,담배판매인들의 권익보호? 회원관리,단체회원관리,담배판매상의 회원들의 담배판매인들의 권익보호 회원관리 단체회원관리,S94941
id_0961376,쌀생산을 위한,농민드?,영농단체,쌀생산을 위한 농민드 영농단체,S94941
id_0706977,게임장에서,일반인대상,인형뽑기?운영,게임장에서 일반인대상 인형뽑기 운영,R91912
id_0822508,노래방,시?을 갖추고,노래방운영,노래방 시설을 갖추고 노래방운영,R91912
id_0686524,노래방에서,?란고객을 대상으로,노래연습장제공,노래방에서 란고객을 대상으로 노래연습장제공,R91912
id_0709318,노래방에서,시설을갖추고,노?방,노래방에서 시설을갖추고 노래방,R91912
id_0587275,사?장에서,일반인들에게,인형뽑기,사업장에서 일반인들에게 인형뽑기,R91912
id_0171224,영업장에서,일반소비자대상으로,인형?기,영업장에서 일반소비자대상으로 인형뽑기,R91912
id_0598124,오락실에서,고객대상,?기방,오락실에서 고객대상 뽑기방,R91912
id_0583448,당구장운영업,서비스업,?구게임,당구장운영업 서비스업 당구게임,R91911
id_0852860,사업장에서,일반고객대상으로,개인pt?,사업장에서 일반고객대상으로 개인pt,R91911
id_0619810,스크린야구,일반인대상,실내 야구 ?습,스크린야구 일반인대상 실내 야구 연습,R91911
id_0152900,실내골프장에서,일반인 에게,실내?장연수장,실내골프장에서 일반인에게 실내 골프장연수장,R91911
id_0425077,체력단련실에서,고객을대상으로,운동피티?,체력단련실에서 고객을대상으로 운동피티,R91911
id_0488249,헬스클럽에서,체력?련시설을갖추고,체력단련서비스,헬스클럽에서 체력단련시설을갖추고 체력단련서비스,R91911
id_0392060,독서실에서,일반?학생대상,독서실운영서비스,독서실에서 일반인 학생대상 독서실운영서비스,R90902
id_0764825,독서실에서,학생?일반인에게,독서실운영,독서실에서 학생 일반인에게 독서실운영,R90902
id_0790123,학생?일반인에게,독서실에서,독서실운영서베스,학생 및 일반인에게 독서실에서 독서실운영 서비스,R90902
id_0877196,사업장에서,?연의뢰인에게,창작및예술관련서비스,사업장에서 연의뢰인에게 창작및예술관련서비스,R90901
id_0826192,작업실에서,독립적으로 예술?동,집필,작업실에서 독립적으로 예술활동 집필,R90901
id_0914707,복지관,사회적으로도움이필요한사?에게,교육건강서비스,복지관 사회적으로도움이필요한사람에게 교육건강서비스,Q87872
id_0217376,복지센터에서,장기요양등급?정을받은어르신,주간보호,복지센터에서 장기요양등급판정을받은어르신 주간보호,Q87872
id_0769052,상담센타에서,사회적도움이 필요?주민대상으로,언어치료 미술치료심리상담,상담센타에서 사회적도움이 필요 주민대상으로 언어치료 미술치료심리상담,Q87872
id_0738419,어린이집,미?학아동대상,보육서비스,어린이집 미취학아동대상 보육서비스,Q87872
id_0760532,어린이집에서,?자로부터위탁을받아,취학전유아보육,어린이집에서 보호자로부터위탁을받아 취학전유아보육,Q87872
id_0079713,어린이집에서,관청인가를?아,영유아보육,어린이집에서 관청인가를 받아 영유아보육,Q87872
id_0108090,어린이집에서,관할구청에서 인가 ?다,취학전 영유아 보육,어린이집에서 관할구청에서 인가 받아 취학전 영유아 보육,Q87872
id_0515979,어린이집에서,관할구청의 허가를 받아,취?전 어린이 보육시설 운영,어린이집에서 관할구청의 허가를 받아 취학전 어린이 보육시설 운영,Q87872
id_0997992,어린이집에서,보?바로부터위탁을받아,유아보육 ~세,어린이집에서 보호자로부터위탁을받아 유아보육 ~세,Q87872
id_0029517,어린이집에서,보육시설로인기?아,영유아보육,어린이집에서 보육시설로 인가받아 영유아보육,Q87872
id_0070475,어린이집에서,보호자로부너위탁을?아,취학전유아교육,어린이집에서 보호자로부터 위탁을 받아 취학전유아교육,Q87872
id_0416414,어린이집에서,보호자로부터위탁?아,어린이보육,어린이집에서 보호자로부터 위탁받아 어린이보육,Q87872
id_0515574,자원봉사센터에서,자원봉사자와 봉사대상연결,봉사마일? 관리및 교육,자원봉사센터에서 자원봉사자와 봉사대상연결 봉사마일리지 관리및 교육,Q87872
id_0007760,재가장기요양센타에서,개인가정방문,노인요양 목?돌보미,재가장기요양센타에서 개인가정방문 노인요양 목돌보미,Q87872
id_0942971,요양시설에서,노인성질환을앓고있는노인을입소?,노인복지시설운영,요양시설에서 노인성질환을앓고있는노인을입소 노인복지시설운영,Q87871
id_0008527,요양시설에서,노인성질환을앓는노인을입소시켜을입소?,노인거주요양서비스,요양시설에서 노인성질환을앓는노인을입소시켜을입소 노인거주요양서비스,Q87871
id_0470478,정신질환자를 ?시켜,복지시설에서,숙식 및 간단한치료활동제공,정신질환자를 입원시켜 복지시설에서 숙식 및 간단한치료활동제공,Q87871
id_0054268,일반고객으로,학원에서,심리상?치료,일반고객으로 학원에서 심리상담치료,Q86869
id_0104512,보건소,외래?l료진료서비스,내과진료,보건소 외래진료진료서비스 내과진료,Q86863
id_0072655,치과에서,외?환자 위주로 진료,치과,치과에서 외래환자 위주로 진료 치과,Q86862
id_0984136,한방진료 침 한?처방,,,한방진료 침 한약처방,Q86862
id_0507671,한의원에서,외?환자 위주로,진료서비스,한의원에서 외래환자 위주로 진료서비스,Q86862
id_0731558,요양병원에서,노인?자들을대상,입원치료간병서비스,요양병원에서 노인환자들을대상 입원치료간병서비스,Q86861
id_0601821,기타교습소에서,초? 고등학생에게 기타교습,기타교습,기타교습소에서 초등 고등학생에게 기타교습 기타교습,P85856
id_0932570,미술학원,서비스업,미?교육 서비스업,미술학원 서비스업 미술교육 서비스업,P85856
id_0137884,사업장에서,,등나무?예교육,사업장에서  등나무예교육,P85856
id_0433239,사업장에서,교육 보?교사위주로,교육실습,사업장에서 교육 보육교사위주로 교육실습,P85856
id_0696919,사업장에서,일반인에게?랜트영역,직업훈련교육,사업장에서 일반인에게 렌트영역 직업훈련교육,P85856
id_0535939,사업장에서,일반인을대상으로,?초제작교육,사업장에서 일반인을대상으로 초제작교육,P85856
id_0488507,연구원에,판소리교육생에게,?소리교육서비스,연구원에 판소리교육생에게 판소리교육서비스,P85856
id_0904247,영업장에서,고객을 대상으로,피아노 교육?,영업장에서 고객을 대상으로 피아노 교육,P85856
id_0378897,음?학원에서,학생들에게,피아노 교육,음악학원에서 학생들에게 피아노 교육,P85856
id_0524459,주민자치센터,주민을 대상으로,교육?수강,주민자치센터 주민을 대상으로 교육수강,P85856
id_0338895,체?관에서,학생및일반인대상,유도,체육관에서 학생및일반인대상 유도,P85856
id_0429385,태권?에서,학생대상으로,태권도,태권도에서 학생대상으로 태권도,P85856
id_0707763,태권도학원에서,학생 ? 일반인대상,태권도 교육,태권도학원에서 학생 일반인대상 태권도 교육,P85856
id_0079787,학원에서,일반 학생들대상으로,목?예 클레이,학원에서 일반 학생들 대상으로 목공예 클레이,P85856
id_0430507,학원에서,학생?일반인대상,성악교육,학원에서 학생들 일반인대상 성악교육,P85856
id_0247497,학원에서,학생을데상으로,영어 수학 과?,학원에서 학생들 대상으로 영어 수학 과학,P85855
id_0713972,학원에서,학생을대상으로,영어?국어,학원에서 학생들 대상으로 영어 국어,P85855
id_0563981,학원에서,학생들을대상으로,수?학원,학원에서 학생들을대상으로 수학학원,P85855
id_0592941,유치원에서,미취학아동대상?,교육 보육,유치원에서 미취학아동대상 교육 보육,P85851
id_0633240,경찰서에서,범죄예방? 순찰,민원서비스제공,경찰서에서 범죄예방 순찰 민원서비스제공,O84844
id_0379181,치안?터에서,주민들대상,치안관리,치안센터에서 주민들대상 치안관리,O84844
id_0497937,주민자치센터에서,지방행정사무를집?,행정서비스,주민자치센터에서 지방행정사무를 집 행정서비스,O84841
id_0191019,사업장에서,관련산업사용자에게,기계장비임?,사업장에서 관련산업사용자에게 기계장비임대,N76763
id_0704651,산업사용자?게,선반장비,임대,산업사용자에게 선반장비 임대,N76763
id_0216359,매장에서,일반소비자를대상으로,?춤한복대여,매장에서 일반소비자를대상으로 맞춤한복대여,N76762
id_0383882,사업장에서,고객상대로,차?대여,사업장에서 고객상대로 차량대여,N76761
id_0670249,사업장에서,고객을 대상으?,자동차 대여,사업장에서 고객을 대상으로 차량 대여,N76761
id_0056485,사업장에서,고객의의뢰를받아,차?렌트,사업장에서 고객의의뢰를받아 차량대여,N76761
id_0727077,?의뢰받아,전시 행사,이벤트 대행,의뢰받아 전시 행사 이벤트 대행,N75759
id_0408273,사무실에서,일반인을대상으로,축제행사기?,사무실에서 일반인을대상으로 축제행사기획,N75759
id_0445141,사업지원서비스 부동산조사용역 토지 지상물건 손실?,,,사업지원서비스 부동산조사용역 토지 지상물건 손실,N75759
id_0603728,영업장에서,법인차?,관리대행서비스,영업장에서 법인차량 관리대행서비스,N75759
id_0976579,여행사에서,여행알선?계약,일반인대상,여행사에서 여행알선계약 일반인대상,N75752
id_0243864,고객에게,사무실에서,직업알선? 인력알선,고객에게 사무실에서 직업알선 인력알선,N75751
id_0893357,고객의요청으로,고객?사업시설에서,인력공급,고객의요청으로 고객사업시설에서 인력공급,N75751
id_0501961,소개소에서,소개수수료? 받고,고용 알선,소개소에서 소개수수료 받고 고용 알선,N75751
id_0855042,일자리 정보를,건설인력 노동인?,고용알선,일자리 정보를 건설인력 노동인력 고용알선,N75751
id_0117590,직업소개소에서,소개수수료? 받고,고용알선,직업소개소에서 소개수수료 받고 고용알선,N75751
id_0164567,사업시설,유지관리서비스,주차관리? 건물 유지관리,사업시설 유지관리서비스 주차관리 건물 유지관리,N74741
id_0843555,사업장에서,행?주택건물에 대해,시설유지 및 관리,사업장에서 행주택건물에 대해 시설유지 및 관리,N74741
id_0986895,고객의요정으로,인물사진? 비디오촬영,,고객의요정으로 인물사진 비디오촬영,M73733
id_0194725,고객이 지정한 곳에서,고객의 요청에 따라,인물촬영 행사영상?영,고객이 지정한 곳에서 고객의 요청에 따라 인물촬영 행사영상 촬영,M73733
id_0537139,사업장에서,일반인르 대사으로,사진?영,사업장에서 일반인르 대사으로 사진촬영,M73733
id_0839891,사진관에서,일반인을대상으로,증명사?,사진관에서 일반인을대상으로 증명사진,M73733
id_0415173,아동대상,스튜디오?에서,기념사진촬영,아동대상 스튜디오에서 기념사진촬영,M73733
id_0208226,사무실에서,케릭터연구 개발,에니메이션연구 개?,사무실에서 케릭터연구 개발 에니메이션연구 개발,M73732
id_0372387,인테리어 디자인 제품 디자인 시각 디자인 기타 전?,,,인테리어 디자인 제품 디자인 시각 디자인 기타 전시,M73732
id_0922756,전문 디자인업,고객의 의?에 의해,의류 디자인,전문 디자인업 고객의 의뢰에 의해 의류 디자인,M73732
id_0492557,고객대상,병원에서,진료? 치료,고객대상 병원에서 진료 치료,M73731
id_0262614,동물병원,?물을 대상으로,수의서비스,동물병원 동물을 대상으로 수의서비스,M73731
id_0343299,동물병원에서,동물들대상으로,진료?치료,동물병원에서 동물들대상으로 진료 치료,M73731
id_0031866,교정 시험접수,?준계측장비,종합시험인증기관,교정 시험접수 준계측장비 종합시험인증기관,M72729
id_0637602,사무실에서,고객의의뢰를 받아,건물에너지효율?내후성평가,사무실에서 고객의의뢰를 받아 건물에너지효율 내후성평가,M72729
id_0619154,각종건물또는구축물?기획,건축설계,건축설계서비스,각종건물또는구축물 기획 건축설계 건축설계서비스,M72721
id_0453218,건물 설계 ? 측량 서비스,,,건물 설계 측량 서비스,M72721
id_0395235,건물및 토목엔지니어링 서비스업 기타엔지니어링 서?,,,건물및 토목엔지니어링 서비스업 기타엔지니어링 서,M72721
id_0550787,건축 사무소에서,고객 요청에 ?해,주택 관공서 apt 제공,건축 사무소에서 고객 요청에 대해 주택 관공서 apt 제공,M72721
id_0246456,건축설계 및 관련서비스업 컨설팅업 기술서비스 bim?,,,건축설계 및 관련서비스업 컨설팅업 기술서비스 bim,M72721
id_0313024,건축세부설계 ?드로잉 건축관련서비스,,,건축세부설계 드로잉 건축관련서비스,M72721
id_0832614,공정설계및그디자인과기계모형 차체형 생산품모형포?,,,공정설계및그디자인과기계모형 차체형 생산품모형포,M72721
id_0521878,사무실에서,고객요청에의해,건축? 제공,사무실에서 고객요청에의해 건축 제공,M72721
id_0278999,사업장에서,고객의 요청에 따라,대기오염?지 폐수 환경오염방지시설서비스,사업장에서 고객의 요청에 따라 대기오염지 폐수 환경오염방지시설서비스,M72721
id_0058672,사어?에서,예비창업자들을 위한,프랜차이즈 본사,사업장에서 예비창업자들을 위한 프랜차이즈 본사,M71715
id_0995490,사업장에서,고객의요구에의해,기술지원? 경영 컨설팅,사업장에서 고객의요구에의해 기술지원 경영 컨설팅,M71715
id_0157945,사업장에서,의료기기에 관한 인?허가 및 품질관리,의료기기 컨설팅,사업장에서 의료기기에 관한 인허가 및 품질관리 의료기기 컨설팅,M71715
id_0467365,외식프렌차이즈 및 외식경영컨설팅업 창업컨설팅업 ?,,,외식프렌차이즈 및 외식경영컨설팅업 창업컨설팅업,M71715
id_0837064,고객의주문으로,광고사에서,현수막 상?등의 광고 문구 도안,고객의주문으로 광고사에서 현수막 상등의 광고 문구 도안,M71713
id_0343750,기획 편집 실사 광고,고객의 의?에,명함 달력 웹제작,기획 편집 실사 광고 고객의 의뢰에 명함 달력 웹제작,M71713
id_0019296,사무실에서,광고대?,온라인마케팅,사무실에서 광고대행 온라인마케팅,M71713
id_0963538,사업장에서,기업을대상,광고 홍?제작,사업장에서 기업을대상 광고 홍보제작,M71713
id_0140515,옥외?전시광고,,,옥외 전시광고,M71713
id_0121824,옥외광고,버스 외부 광고,차량 ?핑,옥외광고 버스 외부 광고 차량 랩핑,M71713
id_0237274,사무실에서,기장대리?세무조정의뢰를받아,기장대리 세무조정,사무실에서 기장대리 세무조정의뢰를받아 기장대리 세무조정,M71712
id_0492017,사업장에서,세무관련업무으?를받아서,세무관련서비스,사업장에서 세무관련업무의뢰를받아서 세무관련서비스,M71712
id_0200886,변호사 사무실에서,의?인를 대리하여,변호사 소송 수행등,변호사 사무실에서 의뢰인를 대리하여 변호사 소송 수행등,M71711
id_0256968,사무실에서,노동상담 서?대행작성제출,법무관련서비스,사무실에서 노동상담 서류대행작성제출 법무관련서비스,M71711
id_0775452,사무실에서,의뢰를받아노무에관련된,행정서류?성 노무사,사무실에서 의뢰를받아노무에관련된 행정서류 작성 노무사,M71711
id_0279384,사무실에서,의뢰인을대리하여,소송변호이의신?,사무실에서 의뢰인을대리하여 소송변호이의신청,M71711
id_0363591,사무실에서,의뢰인을대리하여,소송수행?법률상당,사무실에서 의뢰인을대리하여 소송수행 법률상담,M71711
id_0835612,의뢰인을 대리하여 민 영사? 기타 사건의 소송등을 수행하는 사업,,,의뢰인을 대리하여 민 영사 기타 사건의 소송등을 수행하는 사업,M71711
id_0903366,의뢰인을 대리하여,사무실에서,특허 출허?등록신청,의뢰인을 대리하여 사무실에서 특허 출허 등록신청,M71711
id_0906334,의뢰인을대리하여,사법기관에제출하는서류 경 공매,등기 경 공매신청대행?g 대리 상담,의뢰인을대리하여 사법기관에제출하는서류 경 공매 등기 경 공매신청대행 대리 상담,M71711
id_0676792,사업장에서,학술용역 원가계산등을연구개?,경제학연구,사업장에서 학술용역 원가계산등을연구개발 경제학연구,M70702
id_0910513,레이저스페클을 이용한 세?치 미생물 탐지장치개발,,광계측기연구개발제조,레이저스페클을 이용한 세균 미생물 탐지장치개발  광계측기연구개발제조,M70701
id_0968668,사업장에서,?유형보이스리더기,무선통역기연구개발,사업장에서 유형보이스리더기 무선통역기연구개발,M70701
id_0425121,연구소에서,혈액세포배?,연구,연구소에서 혈액세포배양 연구,M70701
id_0472980,연구실에서,자율주행차관련?기술,전기전자공학연구개발업,연구실에서 자율주행차관련기술 전기전자공학연구개발업,M70701
id_0489383,체외진단의료기,연구,개?,체외진단의료기 연구 개발,M70701
id_0277192,?리사무소,아파트 입주자를위해,주거용아파트 관리서비스,관리사무소 아파트 입주자를위해 주거용아파트 관리서비스,L68682
id_0325698,계?에의거 부동산중개,부동산업,부동산컨설팅 분양대행업,계약에의거 부동산중개 부동산업 부동산컨설팅 분양대행업,L68682
id_0549900,공인중개사에서,계?예의거 부동산중개,부동산중개서비스,공인중개사에서 계약에 의거 부동산중개 부동산중개서비스,L68682
id_0661387,부동?중개사무소에서,계약에 의해,전월세 매매등 부동산중개,부동산중개사무소에서 계약에 의해 전월세 매매등 부동산중개,L68682
